candidate_id,direction,content_class,style_class,content_index,style_index,style_crop,slot,review_status,pixel_standard_deviation
cat_to_dog_00,cat_to_dog,cat,dog,2536,113,"[0.18, 0.1, 0.88, 0.9]",0,pending,0.16066535417532782
cat_to_dog_01,cat_to_dog,cat,dog,1431,113,"[0.18, 0.1, 0.88, 0.9]",1,pending,0.23229636907513268
cat_to_dog_02,cat_to_dog,cat,dog,2028,113,"[0.18, 0.1, 0.88, 0.9]",2,pending,0.19399197161277018
cat_to_dog_03,cat_to_dog,cat,dog,6952,113,"[0.18, 0.1, 0.88, 0.9]",3,pending,0.2083330138814018
cat_to_dog_04,cat_to_dog,cat,dog,3778,113,"[0.18, 0.1, 0.88, 0.9]",4,pending,0.18887025964002183
cat_to_dog_05,cat_to_dog,cat,dog,4821,113,"[0.18, 0.1, 0.88, 0.9]",5,pending,0.1967195970401497
cat_to_dog_06,cat_to_dog,cat,dog,4908,113,"[0.18, 0.1, 0.88, 0.9]",6,pending,0.1512829329727481
cat_to_dog_07,cat_to_dog,cat,dog,632,113,"[0.18, 0.1, 0.88, 0.9]",7,pending,0.19998184371121366
cat_to_dog_08,cat_to_dog,cat,dog,3851,113,"[0.18, 0.1, 0.88, 0.9]",8,pending,0.1869077393268829
cat_to_dog_09,cat_to_dog,cat,dog,4590,113,"[0.18, 0.1, 0.88, 0.9]",9,pending,0.1750101129696748
cat_to_dog_10,cat_to_dog,cat,dog,1401,113,"[0.18, 0.1, 0.88, 0.9]",10,pending,0.1945533851895609
cat_to_dog_11,cat_to_dog,cat,dog,3276,113,"[0.18, 0.1, 0.88, 0.9]",11,pending,0.18576492523696533
cat_to_dog_12,cat_to_dog,cat,dog,176,113,"[0.18, 0.1, 0.88, 0.9]",12,pending,0.19537390191761347
cat_to_dog_13,cat_to_dog,cat,dog,4881,113,"[0.18, 0.1, 0.88, 0.9]",13,pending,0.17214314845073972
cat_to_dog_14,cat_to_dog,cat,dog,4215,113,"[0.18, 0.1, 0.88, 0.9]",14,pending,0.19944534877642134
cat_to_dog_15,cat_to_dog,cat,dog,4330,113,"[0.18, 0.1, 0.88, 0.9]",15,pending,0.18994389982977414
cat_to_dog_16,cat_to_dog,cat,dog,3562,113,"[0.18, 0.1, 0.88, 0.9]",16,pending,0.18035469739972235
cat_to_dog_17,cat_to_dog,cat,dog,2291,113,"[0.18, 0.1, 0.88, 0.9]",17,pending,0.16460909758069114
cat_to_dog_18,cat_to_dog,cat,dog,4463,113,"[0.18, 0.1, 0.88, 0.9]",18,pending,0.19300299479440097
cat_to_dog_19,cat_to_dog,cat,dog,979,113,"[0.18, 0.1, 0.88, 0.9]",19,pending,0.21983330069662477
cat_to_dog_20,cat_to_dog,cat,dog,4531,113,"[0.18, 0.1, 0.88, 0.9]",20,pending,0.1755012368902555
cat_to_dog_21,cat_to_dog,cat,dog,738,113,"[0.18, 0.1, 0.88, 0.9]",21,pending,0.1886296329740321
cat_to_dog_22,cat_to_dog,cat,dog,1263,113,"[0.18, 0.1, 0.88, 0.9]",22,pending,0.18620370711959702
cat_to_dog_23,cat_to_dog,cat,dog,4609,113,"[0.18, 0.1, 0.88, 0.9]",23,pending,0.1999929310486022
cat_to_dog_24,cat_to_dog,cat,dog,3375,113,"[0.18, 0.1, 0.88, 0.9]",24,pending,0.1843683659393603
dog_to_cat_00,dog_to_cat,dog,cat,1095,89,"[0.18, 0.12, 0.88, 0.88]",0,pending,0.2226962664707034
dog_to_cat_01,dog_to_cat,dog,cat,1626,89,"[0.18, 0.12, 0.88, 0.88]",1,pending,0.22235065930421377
dog_to_cat_02,dog_to_cat,dog,cat,7041,89,"[0.18, 0.12, 0.88, 0.88]",2,pending,0.2547864250282311
dog_to_cat_03,dog_to_cat,dog,cat,319,89,"[0.18, 0.12, 0.88, 0.88]",3,pending,0.2634650407648086
dog_to_cat_04,dog_to_cat,dog,cat,2458,89,"[0.18, 0.12, 0.88, 0.88]",4,pending,0.2692790810746397
dog_to_cat_05,dog_to_cat,dog,cat,5101,89,"[0.18, 0.12, 0.88, 0.88]",5,pending,0.2657510710139464
dog_to_cat_06,dog_to_cat,dog,cat,6716,89,"[0.18, 0.12, 0.88, 0.88]",6,pending,0.2244858741734112
dog_to_cat_07,dog_to_cat,dog,cat,5701,89,"[0.18, 0.12, 0.88, 0.88]",7,pending,0.25238851013512587
dog_to_cat_08,dog_to_cat,dog,cat,6989,89,"[0.18, 0.12, 0.88, 0.88]",8,pending,0.2725878879895297
dog_to_cat_09,dog_to_cat,dog,cat,2807,89,"[0.18, 0.12, 0.88, 0.88]",9,pending,0.23931649265748361
dog_to_cat_10,dog_to_cat,dog,cat,7413,89,"[0.18, 0.12, 0.88, 0.88]",10,pending,0.2787897322605879
dog_to_cat_11,dog_to_cat,dog,cat,4850,89,"[0.18, 0.12, 0.88, 0.88]",11,pending,0.26029932765424635
dog_to_cat_12,dog_to_cat,dog,cat,2950,89,"[0.18, 0.12, 0.88, 0.88]",12,pending,0.2556164449899427
dog_to_cat_13,dog_to_cat,dog,cat,5496,89,"[0.18, 0.12, 0.88, 0.88]",13,pending,0.2588388669564859
