candidate_id,direction,visual_review_status,rejection_reason
cat_to_dog_00,cat_to_dog,accepted,
cat_to_dog_01,cat_to_dog,accepted,
cat_to_dog_02,cat_to_dog,accepted,
cat_to_dog_03,cat_to_dog,accepted,
cat_to_dog_04,cat_to_dog,accepted,
cat_to_dog_05,cat_to_dog,accepted,
cat_to_dog_06,cat_to_dog,accepted,
cat_to_dog_07,cat_to_dog,accepted,
cat_to_dog_08,cat_to_dog,accepted,
cat_to_dog_09,cat_to_dog,accepted,
cat_to_dog_10,cat_to_dog,accepted,
cat_to_dog_11,cat_to_dog,rejected,reviewer_rejected_unspecified
cat_to_dog_12,cat_to_dog,accepted,
cat_to_dog_13,cat_to_dog,rejected,reviewer_rejected_unspecified
cat_to_dog_14,cat_to_dog,rejected,reviewer_rejected_unspecified
cat_to_dog_15,cat_to_dog,rejected,reviewer_rejected_unspecified
cat_to_dog_16,cat_to_dog,accepted,
cat_to_dog_17,cat_to_dog,rejected,reviewer_rejected_unspecified
cat_to_dog_18,cat_to_dog,accepted,
cat_to_dog_19,cat_to_dog,accepted,
cat_to_dog_20,cat_to_dog,accepted,
cat_to_dog_21,cat_to_dog,accepted,
cat_to_dog_22,cat_to_dog,accepted,
cat_to_dog_23,cat_to_dog,accepted,
cat_to_dog_24,cat_to_dog,accepted,
dog_to_cat_00,dog_to_cat,accepted,
dog_to_cat_01,dog_to_cat,accepted,
dog_to_cat_02,dog_to_cat,accepted,
dog_to_cat_03,dog_to_cat,accepted,
dog_to_cat_04,dog_to_cat,accepted,
dog_to_cat_05,dog_to_cat,accepted,
dog_to_cat_06,dog_to_cat,accepted,
dog_to_cat_07,dog_to_cat,accepted,
dog_to_cat_08,dog_to_cat,accepted,
dog_to_cat_09,dog_to_cat,rejected,reviewer_rejected_unspecified
dog_to_cat_10,dog_to_cat,accepted,
dog_to_cat_11,dog_to_cat,accepted,
dog_to_cat_12,dog_to_cat,accepted,
dog_to_cat_13,dog_to_cat,accepted,
dog_to_cat_14,dog_to_cat,rejected,reviewer_rejected_unspecified
dog_to_cat_15,dog_to_cat,accepted,
dog_to_cat_16,dog_to_cat,accepted,
dog_to_cat_17,dog_to_cat,accepted,
dog_to_cat_18,dog_to_cat,accepted,
dog_to_cat_19,dog_to_cat,rejected,reviewer_rejected_unspecified
dog_to_cat_20,dog_to_cat,accepted,
dog_to_cat_21,dog_to_cat,accepted,
dog_to_cat_22,dog_to_cat,rejected,reviewer_rejected_unspecified
dog_to_cat_23,dog_to_cat,accepted,
dog_to_cat_24,dog_to_cat,rejected,reviewer_rejected_unspecified
deer_to_horse_00,deer_to_horse,accepted,
deer_to_horse_01,deer_to_horse,rejected,reviewer_rejected_unspecified
deer_to_horse_02,deer_to_horse,accepted,
deer_to_horse_03,deer_to_horse,accepted,
deer_to_horse_04,deer_to_horse,rejected,reviewer_rejected_unspecified
deer_to_horse_05,deer_to_horse,accepted,
deer_to_horse_06,deer_to_horse,accepted,
deer_to_horse_07,deer_to_horse,accepted,
deer_to_horse_08,deer_to_horse,accepted,
deer_to_horse_09,deer_to_horse,accepted,
deer_to_horse_10,deer_to_horse,accepted,
deer_to_horse_11,deer_to_horse,accepted,
deer_to_horse_12,deer_to_horse,rejected,reviewer_rejected_unspecified
deer_to_horse_13,deer_to_horse,rejected,reviewer_rejected_unspecified
deer_to_horse_14,deer_to_horse,accepted,
deer_to_horse_15,deer_to_horse,accepted,
deer_to_horse_16,deer_to_horse,accepted,
deer_to_horse_17,deer_to_horse,accepted,
deer_to_horse_18,deer_to_horse,accepted,
deer_to_horse_19,deer_to_horse,accepted,
deer_to_horse_20,deer_to_horse,rejected,reviewer_rejected_unspecified
deer_to_horse_21,deer_to_horse,accepted,
deer_to_horse_22,deer_to_horse,accepted,
deer_to_horse_23,deer_to_horse,accepted,
deer_to_horse_24,deer_to_horse,accepted,
horse_to_deer_00,horse_to_deer,accepted,
horse_to_deer_01,horse_to_deer,rejected,reviewer_rejected_unspecified
horse_to_deer_02,horse_to_deer,accepted,
horse_to_deer_03,horse_to_deer,rejected,reviewer_rejected_unspecified
horse_to_deer_04,horse_to_deer,accepted,
horse_to_deer_05,horse_to_deer,accepted,
horse_to_deer_06,horse_to_deer,rejected,reviewer_rejected_unspecified
horse_to_deer_07,horse_to_deer,accepted,
horse_to_deer_08,horse_to_deer,rejected,reviewer_rejected_unspecified
horse_to_deer_09,horse_to_deer,accepted,
horse_to_deer_10,horse_to_deer,accepted,
horse_to_deer_11,horse_to_deer,accepted,
horse_to_deer_12,horse_to_deer,accepted,
horse_to_deer_13,horse_to_deer,accepted,
horse_to_deer_14,horse_to_deer,accepted,
horse_to_deer_15,horse_to_deer,accepted,
horse_to_deer_16,horse_to_deer,accepted,
horse_to_deer_17,horse_to_deer,rejected,reviewer_rejected_unspecified
horse_to_deer_18,horse_to_deer,accepted,
horse_to_deer_19,horse_to_deer,accepted,
horse_to_deer_20,horse_to_deer,accepted,
horse_to_deer_21,horse_to_deer,accepted,
horse_to_deer_22,horse_to_deer,accepted,
horse_to_deer_23,horse_to_deer,accepted,
horse_to_deer_24,horse_to_deer,accepted,
bird_to_cat_00,bird_to_cat,accepted,
bird_to_cat_01,bird_to_cat,rejected,reviewer_rejected_unspecified
bird_to_cat_02,bird_to_cat,accepted,
bird_to_cat_03,bird_to_cat,accepted,
bird_to_cat_04,bird_to_cat,rejected,reviewer_rejected_unspecified
bird_to_cat_05,bird_to_cat,accepted,
bird_to_cat_06,bird_to_cat,accepted,
bird_to_cat_07,bird_to_cat,accepted,
bird_to_cat_08,bird_to_cat,accepted,
bird_to_cat_09,bird_to_cat,accepted,
bird_to_cat_10,bird_to_cat,accepted,
bird_to_cat_11,bird_to_cat,accepted,
