backbone,classifier,condition,accuracy,macro_f1,mean_maximum_confidence,accuracy_change_from_clean,prediction_consistency
resnet50,linear_head,clean,0.9760,0.9761,0.9349,0.0000,1.0000
resnet50,linear_head,grayscale,0.9580,0.9578,0.9317,-0.0180,0.9640
resnet50,linear_head,hue_rotation_90_degrees,0.9300,0.9298,0.9148,-0.0460,0.9420
vit_b_16,linear_head,clean,0.9740,0.9739,0.9684,0.0000,1.0000
vit_b_16,linear_head,grayscale,0.9520,0.9520,0.9644,-0.0220,0.9520
vit_b_16,linear_head,hue_rotation_90_degrees,0.9440,0.9440,0.9406,-0.0300,0.9440
clip_vit_b_32,linear_head,clean,0.9840,0.9840,0.2428,0.0000,1.0000
clip_vit_b_32,linear_head,grayscale,0.9620,0.9621,0.2270,-0.0220,0.9680
clip_vit_b_32,linear_head,hue_rotation_90_degrees,0.9560,0.9559,0.2209,-0.0280,0.9640
clip_vit_b_32,zero_shot,clean,0.9800,0.9799,0.9548,0.0000,1.0000
clip_vit_b_32,zero_shot,grayscale,0.9700,0.9698,0.9380,-0.0100,0.9720
clip_vit_b_32,zero_shot,hue_rotation_90_degrees,0.9540,0.9534,0.9273,-0.0260,0.9620
