backbone,classifier,intervention,displacement_pixels,condition,accuracy,macro_f1,mean_maximum_confidence,accuracy_change_from_clean,prediction_consistency
resnet50,linear_head,translation,0.0,average,0.9760000109672546,0.9760555313263286,0.934882640838623,0.0,1.0
resnet50,linear_head,translation,8.0,average,0.9739999920129776,0.9740532536146772,0.9337708503007888,-0.002000018954277,0.9949999898672104
resnet50,linear_head,translation,16.0,average,0.971000000834465,0.971047413621024,0.9307035356760024,-0.0050000101327896,0.9915000051259996
resnet50,linear_head,translation,32.0,average,0.9660000056028366,0.9661871330524624,0.925223633646965,-0.010000005364418,0.9870000034570694
resnet50,linear_head,patch_shuffle_4x4,,patch_shuffle,0.8960000276565552,0.8965807890358974,0.8909489512443542,-0.0799999833106994,0.9139999747276306
vit_b_16,linear_head,translation,0.0,average,0.9739999771118164,0.9738959646264748,0.968436062335968,0.0,1.0
vit_b_16,linear_head,translation,8.0,average,0.976500004529953,0.9765089531804358,0.9680593460798264,0.0025000274181365,0.9845000058412552
vit_b_16,linear_head,translation,16.0,average,0.972000002861023,0.971929039947348,0.9668055176734924,-0.0019999742507934,0.987999990582466
vit_b_16,linear_head,translation,32.0,average,0.9640000015497208,0.9640516221785604,0.96209716796875,-0.0099999755620956,0.9750000089406968
vit_b_16,linear_head,patch_shuffle_4x4,,patch_shuffle,0.8980000019073486,0.8978003824297394,0.9037036299705504,-0.0759999752044677,0.9020000100135804
clip_vit_b_32,linear_head,translation,0.0,average,0.984000027179718,0.9839784096056664,0.2427993714809417,0.0,1.0
clip_vit_b_32,linear_head,translation,8.0,average,0.9835000038146972,0.9835224582507028,0.2413959130644798,-0.0005000233650207,0.9899999797344208
clip_vit_b_32,linear_head,translation,16.0,average,0.9785000085830688,0.9784579553355844,0.2384844943881034,-0.0055000185966491,0.9849999994039536
clip_vit_b_32,linear_head,translation,32.0,average,0.975499987602234,0.9755424594224064,0.2348268553614616,-0.0085000395774841,0.9859999865293504
clip_vit_b_32,linear_head,patch_shuffle_4x4,,patch_shuffle,0.843999981880188,0.8426785865977771,0.1807251125574112,-0.14000004529953,0.8500000238418579
clip_vit_b_32,zero_shot,translation,0.0,average,0.9800000190734864,0.9798839921143818,0.9547560214996338,0.0,1.0
clip_vit_b_32,zero_shot,translation,8.0,average,0.9780000001192092,0.977884115503998,0.951609954237938,-0.002000018954277,0.9864999949932098
clip_vit_b_32,zero_shot,translation,16.0,average,0.9769999980926514,0.9768425624583634,0.9496283680200576,-0.0030000209808349,0.98300002515316
clip_vit_b_32,zero_shot,translation,32.0,average,0.9665000140666962,0.9663996673407108,0.9414676427841188,-0.0135000050067901,0.9825000017881392
clip_vit_b_32,zero_shot,patch_shuffle_4x4,,patch_shuffle,0.8299999833106995,0.8304047032682682,0.8182372450828552,-0.1500000357627868,0.8259999752044678
