method,true_class,most_common_wrong_prediction,confusion_count,true_class_support,confusion_rate
cdan,dog,dog,0,772,0.0
cdan,elephant,dog,740,740,1.0
cdan,giraffe,dog,738,753,0.9800796812749004
cdan,guitar,dog,538,608,0.8848684210526315
cdan,horse,dog,815,816,0.9987745098039216
cdan,house,dog,19,80,0.2375
cdan,person,dog,160,160,1.0
dan_lambda_0_1,dog,person,181,772,0.2344559585492228
dan_lambda_0_1,elephant,person,91,740,0.12297297297297298
dan_lambda_0_1,giraffe,horse,134,753,0.17795484727755645
dan_lambda_0_1,guitar,elephant,2,608,0.003289473684210526
dan_lambda_0_1,horse,house,100,816,0.12254901960784313
dan_lambda_0_1,house,dog,0,80,0.0
dan_lambda_0_1,person,house,24,160,0.15
dan_lambda_10,dog,horse,230,772,0.2979274611398964
dan_lambda_10,elephant,dog,67,740,0.09054054054054055
dan_lambda_10,giraffe,horse,104,753,0.13811420982735723
dan_lambda_10,guitar,person,54,608,0.08881578947368421
dan_lambda_10,horse,house,39,816,0.04779411764705882
dan_lambda_10,house,dog,0,80,0.0
dan_lambda_10,person,house,8,160,0.05
dan,dog,elephant,91,772,0.11787564766839378
dan,elephant,house,79,740,0.10675675675675676
dan,giraffe,person,94,753,0.1248339973439575
dan,guitar,person,148,608,0.24342105263157895
dan,horse,house,87,816,0.10661764705882353
dan,house,dog,0,80,0.0
dan,person,house,157,160,0.98125
dann,dog,house,770,772,0.9974093264248705
dann,elephant,house,740,740,1.0
dann,giraffe,house,742,753,0.9853917662682603
dann,guitar,house,534,608,0.8782894736842105
dann,horse,house,813,816,0.9963235294117647
dann,house,dog,0,80,0.0
dann,person,house,160,160,1.0
source_only,dog,person,179,772,0.23186528497409326
source_only,elephant,person,41,740,0.05540540540540541
source_only,giraffe,person,62,753,0.08233731739707835
source_only,guitar,elephant,9,608,0.014802631578947368
source_only,horse,elephant,114,816,0.13970588235294118
source_only,house,person,3,80,0.0375
source_only,person,giraffe,12,160,0.075
