method,class_name,target_accuracy,support
source_only,dog,0.3704663212435233,772
source_only,elephant,0.9837837837837838,740
source_only,giraffe,0.5856573705179283,753
source_only,guitar,0.90625,608
source_only,horse,0.5833333333333334,816
source_only,house,0.775,80
source_only,person,0.55625,160
dan,dog,0.35103626943005184,772
dan,elephant,0.827027027027027,740
dan,giraffe,0.6108897742363878,753
dan,guitar,0.8914473684210527,608
dan,horse,0.5379901960784313,816
dan,house,1.0,80
dan,person,0.05,160
dann,dog,0.4650259067357513,772
dann,elephant,0.40675675675675677,740
dann,giraffe,0.4581673306772908,753
dann,guitar,0.9588815789473685,608
dann,horse,0.9142156862745098,816
dann,house,1.0,80
dann,person,0.98125,160
cdan,dog,0.0038860103626943004,772
cdan,elephant,0.0013513513513513514,740
cdan,giraffe,0.45152722443559096,753
cdan,guitar,0.22039473684210525,608
cdan,horse,0.9938725490196079,816
cdan,house,0.7125,80
cdan,person,0.55,160
dan_lambda_0_1,dog,0.5621761658031088,772
dan_lambda_0_1,elephant,0.6459459459459459,740
dan_lambda_0_1,giraffe,0.5551128818061088,753
dan_lambda_0_1,guitar,0.9358552631578947,608
dan_lambda_0_1,horse,0.8345588235294118,816
dan_lambda_0_1,house,1.0,80
dan_lambda_0_1,person,0.9375,160
dan_lambda_10,dog,0.48575129533678757,772
dan_lambda_10,elephant,0.8743243243243243,740
dan_lambda_10,giraffe,0.6228419654714475,753
dan_lambda_10,guitar,0.962171052631579,608
dan_lambda_10,horse,0.8186274509803921,816
dan_lambda_10,house,0.9875,80
dan_lambda_10,person,0.75,160
