method,class_name,target_accuracy,change_from_source_only,support
source_only,dog,0.3704663212435233,0.0,772
source_only,elephant,0.9837837837837838,0.0,740
source_only,giraffe,0.5856573705179283,0.0,753
source_only,guitar,0.90625,0.0,608
source_only,horse,0.5833333333333334,0.0,816
source_only,house,0.775,0.0,80
source_only,person,0.55625,0.0,160
dan,dog,0.35103626943005184,-0.01943005181347146,772
dan,elephant,0.827027027027027,-0.15675675675675682,740
dan,giraffe,0.6108897742363878,0.025232403718459473,753
dan,guitar,0.8914473684210527,-0.014802631578947345,608
dan,horse,0.5379901960784313,-0.04534313725490202,816
dan,house,1.0,0.22499999999999998,80
dan,person,0.05,-0.50625,160
dann,dog,0.4650259067357513,0.09455958549222798,772
dann,elephant,0.40675675675675677,-0.577027027027027,740
dann,giraffe,0.4581673306772908,-0.1274900398406375,753
dann,guitar,0.9588815789473685,0.052631578947368474,608
dann,horse,0.9142156862745098,0.3308823529411764,816
dann,house,1.0,0.22499999999999998,80
dann,person,0.98125,0.42499999999999993,160
cdan,dog,0.0038860103626943004,-0.366580310880829,772
cdan,elephant,0.0013513513513513514,-0.9824324324324325,740
cdan,giraffe,0.45152722443559096,-0.13413014608233736,753
cdan,guitar,0.22039473684210525,-0.6858552631578947,608
cdan,horse,0.9938725490196079,0.4105392156862745,816
cdan,house,0.7125,-0.0625,80
cdan,person,0.55,-0.006249999999999978,160
dan_lambda_0_1,dog,0.5621761658031088,0.1917098445595855,772
dan_lambda_0_1,elephant,0.6459459459459459,-0.33783783783783794,740
dan_lambda_0_1,giraffe,0.5551128818061088,-0.030544488711819473,753
dan_lambda_0_1,guitar,0.9358552631578947,0.02960526315789469,608
dan_lambda_0_1,horse,0.8345588235294118,0.2512254901960784,816
dan_lambda_0_1,house,1.0,0.22499999999999998,80
dan_lambda_0_1,person,0.9375,0.38125,160
dan_lambda_10,dog,0.48575129533678757,0.11528497409326427,772
dan_lambda_10,elephant,0.8743243243243243,-0.10945945945945956,740
dan_lambda_10,giraffe,0.6228419654714475,0.03718459495351922,753
dan_lambda_10,guitar,0.962171052631579,0.05592105263157898,608
dan_lambda_10,horse,0.8186274509803921,0.23529411764705876,816
dan_lambda_10,house,0.9875,0.21250000000000002,80
dan_lambda_10,person,0.75,0.19374999999999998,160
