method,true_class,most_common_wrong_prediction,confusion_count,true_class_support,confusion_rate
dan_dg_lambda_0_1,dog,elephant,67,772,0.08678756476683938
dan_dg_lambda_0_1,elephant,dog,288,740,0.3891891891891892
dan_dg_lambda_0_1,giraffe,dog,176,753,0.2337317397078353
dan_dg_lambda_0_1,guitar,giraffe,79,608,0.1299342105263158
dan_dg_lambda_0_1,horse,dog,429,816,0.5257352941176471
dan_dg_lambda_0_1,house,giraffe,2,80,0.025
dan_dg_lambda_0_1,person,giraffe,34,160,0.2125
dan_dg_lambda_10,dog,giraffe,314,772,0.4067357512953368
dan_dg_lambda_10,elephant,giraffe,252,740,0.34054054054054056
dan_dg_lambda_10,giraffe,elephant,229,753,0.3041168658698539
dan_dg_lambda_10,guitar,elephant,427,608,0.7023026315789473
dan_dg_lambda_10,horse,giraffe,522,816,0.6397058823529411
dan_dg_lambda_10,house,person,42,80,0.525
dan_dg_lambda_10,person,giraffe,70,160,0.4375
dan_dg,dog,elephant,136,772,0.17616580310880828
dan_dg,elephant,dog,97,740,0.13108108108108107
dan_dg,giraffe,dog,180,753,0.23904382470119523
dan_dg,guitar,elephant,54,608,0.08881578947368421
dan_dg,horse,dog,257,816,0.31495098039215685
dan_dg,house,elephant,4,80,0.05
dan_dg,person,elephant,22,160,0.1375
erm,dog,elephant,177,772,0.22927461139896374
erm,elephant,dog,45,740,0.060810810810810814
erm,giraffe,person,120,753,0.1593625498007968
erm,guitar,elephant,47,608,0.07730263157894737
erm,horse,dog,114,816,0.13970588235294118
erm,house,person,10,80,0.125
erm,person,elephant,11,160,0.06875
sam,dog,elephant,188,772,0.24352331606217617
sam,elephant,horse,44,740,0.05945945945945946
sam,giraffe,person,42,753,0.055776892430278883
sam,guitar,elephant,16,608,0.02631578947368421
sam,horse,giraffe,169,816,0.20710784313725492
sam,house,horse,5,80,0.0625
sam,person,elephant,12,160,0.075
