method,class_name,sketch_accuracy,support
erm,dog,0.18264248704663213,772
erm,elephant,0.9716216216216216,740
erm,giraffe,0.6122177954847278,753
erm,guitar,0.8717105263157895,608
erm,horse,0.8504901960784313,816
erm,house,0.725,80
erm,person,0.7,160
dan_dg,dog,0.3601036269430052,772
dan_dg,elephant,0.6635135135135135,740
dan_dg,giraffe,0.7596281540504648,753
dan_dg,guitar,0.9703947368421053,608
dan_dg,horse,0.7867647058823529,816
dan_dg,house,0.8375,80
dan_dg,person,0.7625,160
sam,dog,0.40414507772020725,772
sam,elephant,0.9756756756756757,740
sam,giraffe,0.6706507304116865,753
sam,guitar,0.8009868421052632,608
sam,horse,0.5906862745098039,816
sam,house,0.75,80
sam,person,0.54375,160
dan_dg_lambda_0_1,dog,0.3743523316062176,772
dan_dg_lambda_0_1,elephant,0.9,740
dan_dg_lambda_0_1,giraffe,0.6188579017264276,753
dan_dg_lambda_0_1,guitar,0.9588815789473685,608
dan_dg_lambda_0_1,horse,0.7181372549019608,816
dan_dg_lambda_0_1,house,0.925,80
dan_dg_lambda_0_1,person,0.8625,160
dan_dg_lambda_10,dog,0.24352331606217617,772
dan_dg_lambda_10,elephant,0.30675675675675673,740
dan_dg_lambda_10,giraffe,0.3041168658698539,753
dan_dg_lambda_10,guitar,0.0,608
dan_dg_lambda_10,horse,0.05759803921568627,816
dan_dg_lambda_10,house,0.35,80
dan_dg_lambda_10,person,0.0875,160
