method,class_name,sketch_accuracy,support,change_from_erm
erm,dog,0.18264248704663213,772,0.0
erm,elephant,0.9716216216216216,740,0.0
erm,giraffe,0.6122177954847278,753,0.0
erm,guitar,0.8717105263157895,608,0.0
erm,horse,0.8504901960784313,816,0.0
erm,house,0.725,80,0.0
erm,person,0.7,160,0.0
dan_dg,dog,0.3601036269430052,772,0.17746113989637305
dan_dg,elephant,0.6635135135135135,740,-0.30810810810810807
dan_dg,giraffe,0.7596281540504648,753,0.14741035856573703
dan_dg,guitar,0.9703947368421053,608,0.09868421052631582
dan_dg,horse,0.7867647058823529,816,-0.06372549019607843
dan_dg,house,0.8375,80,0.11250000000000004
dan_dg,person,0.7625,160,0.0625
sam,dog,0.40414507772020725,772,0.2215025906735751
sam,elephant,0.9756756756756757,740,0.004054054054054124
sam,giraffe,0.6706507304116865,753,0.05843293492695878
sam,guitar,0.8009868421052632,608,-0.07072368421052633
sam,horse,0.5906862745098039,816,-0.2598039215686274
sam,house,0.75,80,0.025000000000000022
sam,person,0.54375,160,-0.15625
dan_dg_lambda_0_1,dog,0.3743523316062176,772,0.19170984455958548
dan_dg_lambda_0_1,elephant,0.9,740,-0.07162162162162156
dan_dg_lambda_0_1,giraffe,0.6188579017264276,753,0.006640106241699861
dan_dg_lambda_0_1,guitar,0.9588815789473685,608,0.08717105263157898
dan_dg_lambda_0_1,horse,0.7181372549019608,816,-0.13235294117647056
dan_dg_lambda_0_1,house,0.925,80,0.20000000000000007
dan_dg_lambda_0_1,person,0.8625,160,0.1625000000000001
dan_dg_lambda_10,dog,0.24352331606217617,772,0.060880829015544036
dan_dg_lambda_10,elephant,0.30675675675675673,740,-0.6648648648648648
dan_dg_lambda_10,giraffe,0.3041168658698539,753,-0.30810092961487384
dan_dg_lambda_10,guitar,0.0,608,-0.8717105263157895
dan_dg_lambda_10,horse,0.05759803921568627,816,-0.7928921568627451
dan_dg_lambda_10,house,0.35,80,-0.375
dan_dg_lambda_10,person,0.0875,160,-0.6124999999999999
