method,score,closed_set_accuracy,unknown_group,auroc,threshold,known_test_acceptance_rate,unknown_rejection_rate,fpr_at_95_tpr
vanilla,msp,0.9503,near,0.816066,0.15008997917175293,0.9466,0.31,0.69
vanilla,mls,0.9503,near,0.7953760625,-5.9023051261901855,0.9503,0.31375,0.68625
vanilla,energy,0.9503,near,0.7950118125000001,-6.1403913497924805,0.9482,0.31125,0.68875
vanilla,mahalanobis,0.9503,near,0.794214,2783.540771484375,0.9438,0.28875,0.71125
vanilla,msp,0.9503,far,0.8951420625,0.15008997917175293,0.9466,0.46375,0.53625
vanilla,mls,0.9503,far,0.887539125,-5.9023051261901855,0.9503,0.54,0.46
vanilla,energy,0.9503,far,0.8879595,-6.1403913497924805,0.9482,0.545,0.455
vanilla,mahalanobis,0.9503,far,0.9173445000000001,2783.540771484375,0.9438,0.535,0.465
vanilla,msp,0.9503,all,0.8556040312500001,0.15008997917175293,0.9466,0.386875,0.613125
vanilla,mls,0.9503,all,0.8414575937500001,-5.9023051261901855,0.9503,0.426875,0.573125
vanilla,energy,0.9503,all,0.84148565625,-6.1403913497924805,0.9482,0.428125,0.571875
vanilla,mahalanobis,0.9503,all,0.8557792500000001,2783.540771484375,0.9438,0.411875,0.588125
