epoch,train_loss,validation_accuracy
1,2.1236685643937854,0.3854
2,1.6519644913567437,0.4356
3,1.41100595641666,0.5504
4,1.2211064882066516,0.658
5,1.0742044478522406,0.5516
6,0.9312107654359606,0.7098
7,0.8269443158679538,0.6898
8,0.7587814516173469,0.7608
9,0.7125435723304748,0.7492
10,0.6816125248803033,0.7954
11,0.6605579764472114,0.7444
12,0.6362642101287842,0.8174
13,0.6194519593768649,0.812
14,0.5976571544329325,0.8016
15,0.5798860547807482,0.7596
16,0.5686809330410427,0.7886
17,0.5628111600928837,0.817
18,0.5495362382253011,0.8006
19,0.5414469208081564,0.8076
20,0.5354037664254506,0.8452
21,0.5201632199817233,0.7654
22,0.5137104422675238,0.8592
23,0.5168491506046718,0.8216
24,0.5009073885387845,0.839
25,0.48981056899494596,0.8638
26,0.48450619655185273,0.8276
27,0.4829164459016588,0.8568
28,0.47393156001302933,0.8222
29,0.46334626220067343,0.8468
30,0.4556469790935516,0.8426
31,0.45645574984550474,0.881
32,0.4531604537963867,0.8506
33,0.4464763245264689,0.8142
34,0.4443336994542016,0.8536
35,0.43301167627440557,0.8648
36,0.4259593250910441,0.8508
37,0.414611615784963,0.8654
38,0.41977765758302477,0.8308
39,0.40844577944543625,0.873
40,0.40315238047705754,0.8526
41,0.4014879387802548,0.8786
42,0.3876779265615675,0.8716
43,0.382797467162874,0.8548
44,0.38131512736214535,0.8646
45,0.37770959029727513,0.8626
46,0.36830033844841853,0.8828
47,0.35842211722267997,0.8896
48,0.35165402201546564,0.8694
49,0.3570038263956706,0.8976
50,0.3450248269610935,0.8968
51,0.33935184416770936,0.8678
52,0.33284439078966777,0.8896
53,0.3234975870874193,0.8728
54,0.31490432080162895,0.8956
55,0.3149504285335541,0.8978
56,0.2997693693108029,0.9048
57,0.2975280241171519,0.8996
58,0.2862124794960022,0.903
59,0.2871592596186532,0.903
60,0.26845853714413115,0.9046
61,0.2670625648948881,0.9036
62,0.2564063561466005,0.9096
63,0.2555633048322466,0.8994
64,0.24486661671267615,0.9094
65,0.23759067550500235,0.9068
66,0.22831766964859432,0.9222
67,0.21831126737064785,0.9288
68,0.21320015218257904,0.9208
69,0.20408197428915237,0.9226
70,0.19873466397391426,0.9244
71,0.1849330349498325,0.923
72,0.174035681687461,0.9246
73,0.1696826751920912,0.9208
74,0.16089290031327141,0.93
75,0.1562909090863334,0.917
76,0.14715131384001837,0.9384
77,0.1315673503451877,0.943
78,0.1291640678524971,0.9406
79,0.11503759899404314,0.934
80,0.10819668822818332,0.9444
81,0.10080832828945584,0.9424
82,0.09671046761009429,0.9502
83,0.08595322035948436,0.9502
84,0.07813822953701019,0.9494
85,0.07515210559765498,0.949
86,0.06968478166262308,0.9504
87,0.062193351517121,0.958
88,0.055196312557326425,0.9574
89,0.052161717797650234,0.9562
90,0.04789030732313792,0.9556
91,0.045751894225676853,0.9574
92,0.04166221159398556,0.9586
93,0.03862293153405189,0.9596
94,0.03660592947138681,0.9604
95,0.03665502476361063,0.959
96,0.035653057363298206,0.9596
97,0.03338385813170009,0.9586
98,0.03234698736468951,0.9602
99,0.032945293792088826,0.9604
100,0.03322210951977306,0.9602
