epoch,total_loss,validation_accuracy
1,0.44462258696810086,0.946
2,0.060935841989703476,0.946
3,0.02951399092985825,0.9474
4,0.02128317547083663,0.9482
5,0.016582261411134492,0.9508
6,0.014015966446922075,0.9496
7,0.012657993499570612,0.9498
8,0.010663414852884174,0.95
9,0.010149796558173628,0.9492
10,0.009115005648874847,0.9506
11,0.009248063758026216,0.9528
12,0.007793974296708422,0.9526
13,0.007613611116539687,0.95
14,0.007388310287999709,0.9526
15,0.0070424152621523135,0.9506
16,0.006966569455636834,0.95
17,0.006711979839813218,0.9516
18,0.006111988488886378,0.9528
19,0.006181963335124733,0.9522
20,0.005704083039414731,0.9534
21,0.005970199729993262,0.9536
22,0.005691684676011474,0.953
23,0.005741333229790061,0.9512
24,0.005370588737026661,0.9528
25,0.005131486141842536,0.9518
26,0.005293293330231047,0.952
27,0.004747522689285688,0.9508
28,0.004789701973839494,0.9538
29,0.005035223479022865,0.9524
30,0.0052758415159504775,0.9502
31,0.004985460256813729,0.9522
32,0.004789898158130448,0.9522
33,0.004815212864989669,0.9524
34,0.004489103490248619,0.9518
35,0.004857909476744349,0.9534
36,0.004523157147394324,0.9506
37,0.00475193355007584,0.9516
38,0.004428134791934016,0.9512
39,0.004565707752507561,0.952
40,0.004656518632228571,0.953
41,0.004573893640058072,0.9526
42,0.0046765550048968926,0.9526
43,0.004488798931891903,0.9528
44,0.004834567686802157,0.9524
45,0.004419868557306472,0.9504
46,0.004601826559254815,0.9526
47,0.004529752690524963,0.9518
48,0.004199826230019839,0.9516
49,0.004444140069112605,0.9528
50,0.004736735828787046,0.951
