epoch,train_loss,validation_accuracy
1,2.0121934959411623,0.3708
2,1.4672705280727811,0.4936
3,1.1800123325771756,0.6094
4,0.9821581333584256,0.6516
5,0.8309026121563382,0.6444
6,0.7126468681865268,0.7266
7,0.6364591400358413,0.709
8,0.5849457357194688,0.7754
9,0.547881807899475,0.789
10,0.5182445331891378,0.777
11,0.4946292879104614,0.7436
12,0.47499379643334283,0.807
13,0.4589709713300069,0.8196
14,0.43972980806562634,0.7762
15,0.42784681934250723,0.7806
16,0.4163379974153307,0.8484
17,0.4000622683737013,0.8036
18,0.38911736675898234,0.8446
19,0.3849471577750312,0.804
20,0.37832431713740033,0.8126
21,0.37364428775575426,0.831
22,0.3618556781133016,0.8498
23,0.35778296887609695,0.7914
24,0.3456984471956889,0.845
25,0.34843349494404263,0.8292
26,0.34217233736250136,0.8436
27,0.3312926079697079,0.8236
28,0.32737992337014943,0.802
29,0.3108892051113976,0.8636
30,0.313861748041047,0.823
31,0.30719102256033154,0.832
32,0.30535747264226276,0.8458
33,0.2982242075814141,0.8512
34,0.2907231250312593,0.8768
35,0.29258006519211666,0.8638
36,0.28681402831607394,0.8708
37,0.27449420108795164,0.8344
38,0.2760045548783408,0.8562
39,0.2687682523727417,0.847
40,0.2631685325728522,0.8374
41,0.2607863061348597,0.8508
42,0.25022044394810994,0.851
43,0.24946809425354005,0.8454
44,0.240382622856564,0.8788
45,0.23781724666754406,0.8644
46,0.22787494497829014,0.8868
47,0.22302946775489382,0.869
48,0.21842713792324067,0.871
49,0.21872003575695886,0.8914
50,0.20668613633579677,0.8904
51,0.20031199879116482,0.8942
52,0.1967520756933424,0.8642
53,0.1934331728829278,0.8838
54,0.18462417161199782,0.8824
55,0.18041607571178012,0.8854
56,0.16596068840026856,0.891
57,0.16548296002149582,0.9034
58,0.15432004217704137,0.908
59,0.1544306193166309,0.8866
60,0.14739097589386835,0.8996
61,0.13941102630827162,0.904
62,0.13068196216689215,0.9132
63,0.12919942038059234,0.91
64,0.12089679257339901,0.8936
65,0.11044907306697634,0.9282
66,0.10883080928060744,0.8966
67,0.10098132479190826,0.9116
68,0.09244539644718171,0.9036
69,0.09162763097551134,0.9102
70,0.08244987252685759,0.9226
71,0.0696911356555091,0.9066
72,0.06067967363728417,0.917
73,0.06103772635592355,0.9322
74,0.05267209066947301,0.917
75,0.048569127010967994,0.9384
76,0.04547219668891695,0.928
77,0.032509553897380826,0.9318
78,0.03422944510380427,0.9308
79,0.023472323139508564,0.9418
80,0.01902463863690694,0.937
81,0.014385475389659405,0.9438
82,0.012769420179724694,0.9458
83,0.011972792740662893,0.945
84,0.009634066652920511,0.9444
85,0.0074911510759343705,0.9482
86,0.005966925915082296,0.9486
87,0.00498060492856635,0.9506
88,0.0037739613185326258,0.9526
89,0.003425477588921785,0.9528
90,0.0033217192346851033,0.9546
91,0.00278350145386325,0.954
92,0.0029211300655785535,0.9532
93,0.002420112725161016,0.9544
94,0.002535119057363934,0.9544
95,0.0024619783154378335,0.9528
96,0.0023808435245106616,0.9542
97,0.002319456939233674,0.9534
98,0.0023348481573992304,0.9532
99,0.0022106154257224664,0.9542
100,0.002242687587026093,0.9544
